iter	Passed	Remaining
856	140046	677025
857	140212	676877
858	140377	676719
859	140553	676617
860	140715	676448
861	140886	676320
862	141050	676160
863	141216	676010
864	141374	675817
865	141525	675598
866	141687	675425
867	141861	675313
868	142033	675190
869	142183	674961
870	142353	674828
871	142523	674700
872	142680	674503
873	142848	674361
874	143004	674165
875	143175	674037
876	143332	673843
877	143506	673727
878	143671	673571
879	143828	673379
880	143974	673136
881	144138	672973
882	144299	672797
883	144465	672646
884	144626	672470
885	144786	672295
886	144941	672089
887	145107	671939
888	145271	671776
889	145434	671614
890	145597	671447
891	145786	671401
892	145945	671218
893	146096	670997
894	146262	670845
895	146416	670639
896	146569	670429
897	146726	670235
898	146883	670044
899	147045	669872
900	147205	669694
901	147363	669508
902	147518	669307
903	147679	669132
904	147847	668988
905	148016	668851
906	148182	668699
907	148354	668577
908	148518	668416
909	148685	668267
910	148843	668079
911	149018	667969
912	149178	667791
913	149356	667691
914	149508	667475
915	149677	667337
916	149838	667165
917	150018	667074
918	150175	666885
919	150353	666786
920	150512	666600
921	150682	666468
922	150845	666303
923	151011	666150
924	151162	665932
925	151321	665750
926	151506	665678
927	151672	665526
928	151822	665307
929	151995	665183
930	152152	664995
931	152319	664845
932	152486	664696
933	152651	664540
934	152805	664338
935	152976	664204
936	153127	663990
937	153291	663826
938	153449	663639
939	153613	663477
940	153776	663313
941	153946	663180
942	154104	662994
943	154270	662842
944	154431	662666
945	154603	662537
946	154763	662359
947	154921	662175
948	155073	661961
949	155221	661734
950	155371	661513
951	155545	661394
952	155697	661184
953	155868	661054
954	156029	660877
955	156185	660684
956	156351	660531
957	156517	660377
958	156678	660206
959	156845	660056
960	157016	659925
961	157183	659777
962	157346	659613
963	157518	659488
964	157674	659292
965	157844	659154
966	158008	658994
967	158169	658823
968	158330	658647
969	158495	658492
970	158646	658277
971	158810	658115
972	158972	657947
973	159139	657798
974	159296	657609
975	159467	657474
976	159618	657262
977	159784	657110
978	159947	656944
979	160116	656805
980	160279	656639
981	160447	656494
982	160605	656309
983	160769	656149
984	160926	655958
985	161096	655824
986	161257	655648
987	161432	655533
988	161587	655337
989	161743	655142
990	161908	654986
991	162077	654846
992	162223	654613
993	162392	654471
994	162548	654277
995	162706	654094
996	162852	653859
997	163008	653666
998	163165	653479
999	163334	653336
1000	163483	653117
1001	163640	652927
1002	163795	652732
1003	163977	652642
1004	164159	652555
1005	164330	652422
1006	164493	652256
1007	164665	652126
1008	164822	651938
1009	164990	651795
1010	165154	651632
1011	165319	651474
1012	165476	651286
1013	165644	651142
1014	165793	650923
1015	165964	650789
1016	166121	650600
1017	166286	650445
1018	166455	650301
1019	166620	650148
1020	166779	649967
1021	166941	649799
1022	167100	649616
1023	167260	649442
1024	167422	649271
1025	167584	649105
1026	167747	648938
1027	167909	648769
1028	168057	648548
1029	168224	648397
1030	168383	648220
1031	168552	648076
1032	168708	647886
1033	168876	647740
1034	169035	647559
1035	169194	647380
1036	169351	647193
1037	169518	647044
1038	169677	646863
1039	169831	646664
1040	169998	646517
1041	170160	646348
1042	170315	646154
1043	170501	646076
1044	170661	645902
1045	170826	645742
1046	170984	645560
1047	171148	645400
1048	171303	645205
1049	171466	645040
1050	171630	644880
1051	171788	644697
1052	171956	644550
1053	172125	644407
1054	172287	644241
1055	172454	644092
1056	172610	643900
1057	172778	643756
1058	172926	643535
1059	173095	643392
1060	173253	643209
1061	173422	643066
1062	173585	642901
1063	173745	642727
1064	173894	642510
1065	174052	642328
1066	174199	642105
1067	174360	641934
1068	174502	641691
1069	174672	641554
1070	174824	641347
1071	174983	641171
1072	175137	640975
1073	175292	640781
1074	175443	640573
1075	175628	640488
1076	175792	640330
1077	175958	640177
1078	176111	639974
1079	176279	639827
1080	176443	639667
1081	176611	639524
1082	176769	639339
1083	176937	639195
1084	177092	639003
1085	177259	638853
1086	177429	638712
1087	177589	638537
1088	177754	638382
1089	177922	638236
1090	178094	638102
1091	178264	637966
1092	178422	637781
1093	178574	637580
1094	178735	637408
1095	178912	637295
1096	179072	637117
1097	179237	636960
1098	179388	636757
1099	179557	636613
1100	179720	636447
1101	179892	636316
1102	180041	636102
1103	180202	635930
1104	180366	635770
1105	180529	635605
1106	180688	635430
1107	180850	635263
1108	181002	635059
1109	181170	634912
1110	181324	634717
1111	181500	634597
1112	181665	634443
1113	181833	634295
1114	181986	634096
1115	182147	633925
1116	182297	633716
1117	182457	633540
1118	182616	633365
1119	182773	633179
1120	182931	632997
1121	183095	632838
1122	183249	632644
1123	183419	632502
1124	183580	632331
1125	183750	632191
1126	183908	632010
1127	184071	631848
1128	184240	631703
1129	184393	631506
1130	184557	631345
1131	184724	631195
1132	184884	631021
1133	185050	630868
1134	185205	630676
1135	185372	630526
1136	185533	630357
1137	185700	630206
1138	185864	630044
1139	186036	629914
1140	186202	629758
1141	186372	629620
1142	186530	629439
1143	186689	629260
1144	186851	629094
1145	187017	628939
1146	187177	628764
1147	187355	628651
1148	187514	628475
1149	187683	628333
1150	187841	628151
1151	188008	627999
1152	188171	627835
1153	188346	627711
1154	188502	627527
1155	188665	627362
1156	188832	627210
1157	189000	627065
1158	189158	626883
1159	189330	626749
1160	189494	626589
1161	189665	626452
1162	189838	626320
1163	190003	626161
1164	190172	626016
1165	190353	625912
1166	190518	625757
1167	190682	625595
1168	190837	625404
1169	191006	625259
1170	191167	625089
1171	191331	624929
1172	191491	624754
1173	191669	624640
1174	191833	624480
1175	191997	624318
1176	192161	624158
1177	192328	624005
1178	192497	623862
1179	192657	623687
1180	192817	623514
1181	192992	623388
1182	193155	623225
1183	193326	623085
1184	193487	622916
1185	193657	622773
1186	193872	622775
1187	194069	622722
1188	194243	622591
1189	194413	622451
1190	194592	622335
1191	194762	622195
1192	194928	622038
1193	195110	621934
1194	195271	621764
1195	195438	621611
1196	195586	621400
1197	195749	621236
1198	195914	621077
1199	196074	620903
1200	196243	620755
1201	196407	620596
1202	196565	620416
1203	196734	620268
1204	196898	620107
1205	197060	619939
1206	197228	619790
1207	197395	619640
1208	197547	619440
1209	197721	619309
